Question ID,Option,Option Text
1,Option A,Lead-acid (Pb-acid)
2,Option A,AA Cells
3,Option A,Primary Battery
4,Option A,Measurement Of Current In Which A Battery Is Charged
5,Option A,Mechanical
6,Option A,     Lead Acid
7,Option A,Permanent magnet
8,Option A,     AC to DC
9,Option A,Matching maximum motor speed with maximum vehicle speed
10,Option A,Unit cell voltages add up in series.
11,Option A,Unit cell currents add up in series.
12,Option A,Unit cell energies add up in series.
13,Option A,    Battery energy storage and power acceptance capacity
14,Option A,Inclined
15,Option A,Ability of the vehicle to climb 1.5 m over 100 m of horizontal distance.
16,Option A,Security of Charging
17,Option A,State of Happiness
18,Option A,Depth of Decay
19,Option A,Brake Management System
20,Option A,It is this voltage that generally defines the “full” state of the battery.
21,Option A,"The number of discharge-charge cycles for which the
battery can be used."
22,Option A,400 V
23,Option A,Helium & Oxygen
24,Option A,Constant Current-Constant Vehicle
25,Option A,Compound Velocity Controlled Combustion
26,Option A,CV-CC
27,Option A,500 A
28,Option A,Kilowatt-hour (kWh)
29,Option A,Li-Ion Battery
30,Option A,310 Kg
31,Option A,10 KWh
32,Option A,ICEV
33,Option A,PHEV
34,Option A,ICEV
35,Option A,ICEV
36,Option A,ICEV
37,Option A,ICEV
38,Option A,Micro Hybrid
39,Option A,EV Supply Equipment
40,Option A,Faster Addition & Maintenance of EVs
41,Option A,Fast AC Charging
42,Option A,Sodium Azide
43,Option A,Belt replacement
44,Option A,8
45,Option A,Controlled Area Network
46,Option A,Share information between power train & ECUs
47,Option A,LiCoO2: Lithium-cobalt-oxide
48,Option A,Automobile Indian Standards
49,Option A,AIS-100 (Rev. 1)/DF
50,Option A,General Motors
51,Option A,ISO-14001: 2015
52,Option A,Lead-acid (100~130 Wh/Kg)
53,Option A,4000 Cells
54,Option A,Panasonic
55,Option A,Buy Your Dream
56,Option A,Clean Advanced Technology Lab
57,Option A,"1. Lead Acid
2. Ni-MH
3. Ni-Cd
4. Li-Ion"
58,Option A,21700
59,Option A,"1. 65 mm is the Dia Of Cell
2. 18 mm is the Length of Cell"
60,Option A,O Cha Demo Ikaga Desuka
61,Option A,USA
62,Option A,1 hour
63,Option A,Limited charging infrastructure
64,Option A,80~100 KM
65,Option A,Kinetic conversion
66,Option A,Controlling the air conditioning system
67,Option A,Balancing cell voltages
68,Option A,Adjusting the side mirrors
69,Option A,By decreasing the battery's capacity
70,Option A,Tire pressure
71,Option A,150 (ICEV)/24 (EV)
72,Option A,30 (ICEV)/10 (EV)
73,Option A,70%~80%
74,Option A,0.25
75,Option A,10%~20%
1,Option B,Lithium-ion (Li-ion)
2,Option B,AAA Cells
3,Option B,Secondary Battery
4,Option B,Measurement Of Current In Which A Battery Is Discharged
5,Option B,Electrical
6,Option B,Nickle-Metal Hydride
7,Option B,Windings or coils 
8,Option B,DC to AC
9,Option B, Matching maximum motor torque with maximum vehicle gradeability
10,Option B,    Unit cell voltages add up in parallel
11,Option B,    Unit cell currents add up in parallel
12,Option B,Unit cell energies add up in parallel
13,Option B,    Route profile and speed v/s time for the drive cycle 
14,Option B,Series
15,Option B,Ability of the vehicle to climb 150 m over 100 m of horizontal distance.
16,Option B,State of Charge
17,Option B,State of Hygiene
18,Option B,Deepness of Discharge
19,Option B,Browser Management System
20,Option B,It is this voltage that generally defines the “empty” state of the battery.
21,Option B,"The number of discharge-charge cycles which the
battery can sustain till it fails."
22,Option B,600 V
23,Option B,Nitrogen & Oxygen
24,Option B,Constant Cost-Constant Volume
25,Option B,Compound Vortex Controlled Combustion
26,Option B,CC-CV
27,Option B,250 A
28,Option B,Horse Power (hp)
29,Option B,Lead Acid Battery
30,Option B,320 Kg
31,Option B,36 KWh
32,Option B,EV
33,Option B,HICEV
34,Option B,HICEV
35,Option B,HICEV
36,Option B,PHEV
37,Option B,PHEV
38,Option B,Mild Hybrid
39,Option B,AC & DC Charging Equipment
40,Option B,Faster Adoption & Manufacturing of EVs
41,Option B,DC Charging
42,Option B,Potassium Nitrate
43,Option B,Brake pad inspections
44,Option B,12
45,Option B,Controller Area Network
46,Option B,Share information between the body ECUs
47,Option B,LiSiO2: Lithium-Silicon-oxide.
48,Option B,Automotive Indian Standards
49,Option B,AIS-004 (Part 3) and Amd. 1
50,Option B,Toyota
51,Option B,ISO-11898: 2003
52,Option B,NiMH (30~50 Wh/Kg)
53,Option B,5000 Cells
54,Option B,LG Electronics
55,Option B,Build Your Dream
56,Option B,Consumer Advanced Technology Lab
57,Option B,"1. Li-Ion
2. Lead Acid
3. Ni-Cd
4. Ni-MH
"
58,Option B,26650
59,Option B,"1. 18 mm is the Dia Of Cell
2. 65 mm is the Length of Cell"
60,Option B,Charge de Move
61,Option B,China
62,Option B,48 hours
63,Option B,Higher greenhouse gas emissions
64,Option B,300~500 KM
65,Option B,Regenerative braking
66,Option B,Monitoring and managing battery performance
67,Option B,Monitoring cabin temperature
68,Option B,Controlling windshield wiper speed
69,Option B,By preventing deep discharges and overcharging
70,Option B,Ambient humidity & Temp.
71,Option B,150 (ICEV)/34 (EV)
72,Option B,30 (ICEV)/15 (EV)
73,Option B,80%~90%
74,Option B,0.35
75,Option B,20%~30%
1,Option C,Sodium-sulphur (NaS)
2,Option C,18650 Cells
3,Option C,Neither Primary Nor secondary
4,Option C,Measurement Of Current In Which A Battery Is Charged And Discharged
5,Option C,Hybrid
6,Option C,Lithium Ion
7,Option C,Electromagnets
8,Option C,DC to DC
9,Option C,Both
10,Option C,None of the 1 & 2
11,Option C,None of the 1 & 2
12,Option C,None of the 1 & 2
13,Option C,Both
14,Option C,Parallel
15,Option C,Ability of the vehicle to climb 15 m over 100 m of horizontal distance.
16,Option C,State of Coulomb
17,Option C,State of Health
18,Option C,Deptt. Of Defence
19,Option C,Battery Management System
20,Option C,It is this voltage that generally defines the “50%” state of the battery.
21,Option C,"The number of discharge-charge cycles the
battery can experience before it fails to meet specific performance criteria"
22,Option C,800 V
23,Option C,Hydrogen & Oxygen
24,Option C,Constant Current-Constant Voltage
25,Option C,Compound Volume Controlled Combustion
26,Option C,VV-CC
27,Option C,100 A
28,Option C,Gallon
29,Option C,Ni-Cd Battery
30,Option C,330 Kg
31,Option C,3.6 KWh
32,Option C,HEV
33,Option C,BEV
34,Option C,FCEV
35,Option C,FCEV
36,Option C,HEV
37,Option C,HEV
38,Option C,Strong Hybrid
39,Option C,Charging Cables/ Metering
40,Option C,"Feasibility, Adoption, & Manufacturing of EVs"
41,Option C,Slow AC Charging
42,Option C,Both Sodium Azide & Potassium Nitrate
43,Option C,"	Oil change"
44,Option C,16
45,Option C,Campus Area Network
46,Option C,Share information between different ECUs
47,Option C,LiMnNiCo: Lithium-manganese-nickel-cobalt
48,Option C,Automotive Industry Standards
49,Option C,AIS-156 & AIS-038 (Rev. 2)
50,Option C,BOSCH
51,Option C,ISO-9001: 2015
52,Option C,Li-Ion (30~50 WH/Kg)
53,Option C,6000 Cells
54,Option C,CATL
55,Option C,Beyond Your Dreams
56,Option C,Contemporary Amperex Technology Co. Limited
57,Option C,"1. Lead Acid
2. Li-Ion
3. Ni-Cd
4. Ni-MH
"
58,Option C,10440
59,Option C,"1. 186 mm is the Length Of Cell
2. 50 mm is the Dia of Cell"
60,Option C,Charge for Moving
61,Option C,Germany
62,Option C,24 hours
63,Option C,Lower energy efficiency
64,Option C,800~1000 KM
65,Option C,Friction recovery
66,Option C,Adjusting tire pressure
67,Option C,Adjusting seat positions
68,Option C,Adjusting the steering wheel angle
69,Option C,By increasing the battery's weight
70,Option C,State of charge (SOC)
71,Option C,150 (ICEV)/44 (EV)
72,Option C,24 (ICEV)/11 (EV)
73,Option C,90%~100%
74,Option C,0.45
75,Option C,30%~40%
1,Option D,Nickel-cadmium (NiCd)
2,Option D,Button Cells
3,Option D,Both primary and Secondary
4,Option D,None Of These
5,Option D,Electro-mechanical
6,Option D,Zinc-Carbon
7,Option D,None of the above
8,Option D,AC to AC
9,Option D,None
10,Option D,Both 1 & 2
11,Option D,Both 1 & 2
12,Option D,Both 1 & 2
13,Option D,None
14,Option D,Series-Parallel
15,Option D,Ability of the vehicle to climb 0.15 m over 100 m of horizontal distance.
16,Option D,Status of Charging
17,Option D,Status of Health
18,Option D,Depth of Discharge
19,Option D,Baking Management System
20,Option D,It is this voltage that generally defines the “10%” state of the battery.
21,Option D,"The total number of discharge-charge cycles the
battery can experience."
22,Option D,All of Them
23,Option D,Water & Oxygen
24,Option D,Constant Cost-Constant Vehicle
25,Option D,Compound Vortex Controlled Capacity
26,Option D,VC-CV
27,Option D,1000 A
28,Option D,Ampere
29,Option D,Al-Air Battery
30,Option D,340 Kg
31,Option D,None Of These
32,Option D,PHEV
33,Option D,FCEV
34,Option D,BEV
35,Option D,BEV
36,Option D,BEV
37,Option D,BEV
38,Option D,None of these
39,Option D,All of these
40,Option D,All of these
41,Option D,Induction Charging
42,Option D,None of the two
43,Option D,New spark plugs
44,Option D,24
45,Option D,Community Area Network
46,Option D,Provide entertainment in the vehicle
47,Option D,LiMnO2: Lithium-manganese-oxide
48,Option D,All of them
49,Option D,AIS-049 and Amd. 1 & 2
50,Option D,Mercedez
51,Option D,ISO-50001: 2018
52,Option D,Ni-Cd (45~80 Wh/kg)
53,Option D,7000 Cells
54,Option D,BYD
55,Option D,Better Your Drive
56,Option D,Cylindrical Amperex Technology Limited
57,Option D,"1. Lead Acid
2. Ni-Cd
3. Ni-MH
4. Li-Ion"
58,Option D,18650
59,Option D,It is random number and does not indicate anything.
60,Option D,All of Them
61,Option D,Japan
62,Option D,4-6 hours
63,Option D,Higher operating costs
64,Option D,1600~2500 KM
65,Option D,Energy recapture
66,Option D,Regulating the suspension system
67,Option D,Controlling the radio volume
68,Option D,Preventing overcharging and overheating of the battery
69,Option D,By reducing the number of charging cycles
70,Option D,Vehicle Speed
71,Option D,150 (ICEV)/54 (EV)
72,Option D,22 (ICEV)/11 (EV)
73,Option D,605~70%
74,Option D,0.5
75,Option D,50%~60%
